_indiv,_obsind,_session,highcostrank,rank,samegrouprank,treatment_RankHet,treatment_RankHom
17,3.0,1,0.0,3.0,1.0,0,1
17,3.0,1,0.0,4.0,0.0,0,1
17,3.0,1,0.0,5.0,0.0,0,1
17,3.0,1,0.0,6.0,0.0,0,1
17,3.0,1,0.0,7.0,0.0,0,1
18,3.0,1,0.0,1.0,0.0,0,1
18,3.0,1,0.0,2.0,0.0,0,1
18,3.0,1,0.0,3.0,0.0,0,1
18,3.0,1,0.0,4.0,0.0,0,1
18,3.0,1,0.0,5.0,1.0,0,1
18,3.0,1,0.0,6.0,1.0,0,1
18,3.0,1,0.0,7.0,1.0,0,1
19,3.0,1,0.0,1.0,1.0,0,1
19,3.0,1,0.0,2.0,1.0,0,1
19,3.0,1,0.0,3.0,1.0,0,1
19,3.0,1,0.0,4.0,0.0,0,1
19,3.0,1,0.0,5.0,0.0,0,1
19,3.0,1,0.0,6.0,0.0,0,1
19,3.0,1,0.0,7.0,0.0,0,1
20,3.0,1,0.0,1.0,1.0,0,1
20,3.0,1,0.0,2.0,1.0,0,1
20,3.0,1,0.0,3.0,1.0,0,1
20,3.0,1,0.0,4.0,0.0,0,1
20,3.0,1,0.0,5.0,0.0,0,1
20,3.0,1,0.0,6.0,0.0,0,1
20,3.0,1,0.0,7.0,0.0,0,1
21,3.0,1,0.0,1.0,1.0,0,1
21,3.0,1,0.0,2.0,1.0,0,1
21,3.0,1,0.0,3.0,1.0,0,1
21,3.0,1,0.0,4.0,0.0,0,1
21,3.0,1,0.0,5.0,0.0,0,1
21,3.0,1,0.0,6.0,0.0,0,1
21,3.0,1,0.0,7.0,0.0,0,1
22,3.0,1,0.0,1.0,1.0,0,1
22,3.0,1,0.0,2.0,1.0,0,1
22,3.0,1,0.0,3.0,1.0,0,1
22,3.0,1,0.0,4.0,0.0,0,1
22,3.0,1,0.0,5.0,0.0,0,1
22,3.0,1,0.0,6.0,0.0,0,1
22,3.0,1,0.0,7.0,0.0,0,1
23,3.0,1,0.0,1.0,1.0,0,1
23,3.0,1,0.0,2.0,1.0,0,1
23,3.0,1,0.0,3.0,1.0,0,1
23,3.0,1,0.0,4.0,0.0,0,1
23,3.0,1,0.0,5.0,0.0,0,1
23,3.0,1,0.0,6.0,0.0,0,1
23,3.0,1,0.0,7.0,0.0,0,1
24,3.0,1,0.0,1.0,1.0,0,1
24,3.0,1,0.0,2.0,1.0,0,1
24,3.0,1,0.0,3.0,1.0,0,1
24,3.0,1,0.0,4.0,0.0,0,1
24,3.0,1,0.0,5.0,0.0,0,1
24,3.0,1,0.0,6.0,0.0,0,1
24,3.0,1,0.0,7.0,0.0,0,1
25,4.0,2,0.0,1.0,1.0,0,1
25,4.0,2,0.0,2.0,0.0,0,1
25,4.0,2,0.0,3.0,1.0,0,1
25,4.0,2,0.0,4.0,0.0,0,1
25,4.0,2,0.0,5.0,1.0,0,1
25,4.0,2,0.0,6.0,0.0,0,1
25,4.0,2,0.0,7.0,0.0,0,1
26,4.0,2,0.0,1.0,1.0,0,1
26,4.0,2,0.0,2.0,1.0,0,1
26,4.0,2,0.0,3.0,1.0,0,1
26,4.0,2,0.0,4.0,0.0,0,1
26,4.0,2,0.0,5.0,0.0,0,1
26,4.0,2,0.0,6.0,0.0,0,1
26,4.0,2,0.0,7.0,0.0,0,1
27,4.0,2,0.0,1.0,1.0,0,1
27,4.0,2,0.0,2.0,1.0,0,1
27,4.0,2,0.0,3.0,1.0,0,1
27,4.0,2,0.0,4.0,0.0,0,1
27,4.0,2,0.0,5.0,0.0,0,1
27,4.0,2,0.0,6.0,0.0,0,1
27,4.0,2,0.0,7.0,0.0,0,1
28,4.0,2,0.0,1.0,1.0,0,1
28,4.0,2,0.0,2.0,0.0,0,1
28,4.0,2,0.0,3.0,0.0,0,1
28,4.0,2,0.0,4.0,1.0,0,1
28,4.0,2,0.0,5.0,0.0,0,1
28,4.0,2,0.0,6.0,1.0,0,1
28,4.0,2,0.0,7.0,0.0,0,1
29,4.0,2,0.0,1.0,1.0,0,1
29,4.0,2,0.0,2.0,1.0,0,1
29,4.0,2,0.0,3.0,1.0,0,1
29,4.0,2,0.0,4.0,0.0,0,1
29,4.0,2,0.0,5.0,0.0,0,1
29,4.0,2,0.0,6.0,0.0,0,1
29,4.0,2,0.0,7.0,0.0,0,1
30,4.0,2,0.0,1.0,1.0,0,1
30,4.0,2,0.0,2.0,1.0,0,1
30,4.0,2,0.0,3.0,1.0,0,1
30,4.0,2,0.0,4.0,0.0,0,1
30,4.0,2,0.0,5.0,0.0,0,1
30,4.0,2,0.0,6.0,0.0,0,1
30,4.0,2,0.0,7.0,0.0,0,1
31,4.0,2,0.0,1.0,0.0,0,1
31,4.0,2,0.0,2.0,1.0,0,1
31,4.0,2,0.0,3.0,1.0,0,1
31,4.0,2,0.0,4.0,0.0,0,1
31,4.0,2,0.0,5.0,0.0,0,1
31,4.0,2,0.0,6.0,0.0,0,1
31,4.0,2,0.0,7.0,1.0,0,1
32,4.0,2,0.0,1.0,1.0,0,1
32,4.0,2,0.0,2.0,1.0,0,1
32,4.0,2,0.0,3.0,0.0,0,1
32,4.0,2,0.0,4.0,0.0,0,1
32,4.0,2,0.0,5.0,0.0,0,1
32,4.0,2,0.0,6.0,0.0,0,1
32,4.0,2,0.0,7.0,1.0,0,1
33,5.0,2,0.0,1.0,1.0,0,1
33,5.0,2,0.0,2.0,1.0,0,1
33,5.0,2,0.0,3.0,1.0,0,1
33,5.0,2,0.0,4.0,0.0,0,1
33,5.0,2,0.0,5.0,0.0,0,1
33,5.0,2,0.0,6.0,0.0,0,1
33,5.0,2,0.0,7.0,0.0,0,1
34,5.0,2,0.0,1.0,1.0,0,1
34,5.0,2,0.0,2.0,1.0,0,1
34,5.0,2,0.0,3.0,1.0,0,1
34,5.0,2,0.0,4.0,0.0,0,1
34,5.0,2,0.0,5.0,0.0,0,1
34,5.0,2,0.0,6.0,0.0,0,1
34,5.0,2,0.0,7.0,0.0,0,1
35,5.0,2,0.0,1.0,1.0,0,1
35,5.0,2,0.0,2.0,1.0,0,1
35,5.0,2,0.0,3.0,1.0,0,1
35,5.0,2,0.0,4.0,0.0,0,1
35,5.0,2,0.0,5.0,0.0,0,1
35,5.0,2,0.0,6.0,0.0,0,1
35,5.0,2,0.0,7.0,0.0,0,1
36,5.0,2,0.0,1.0,1.0,0,1
36,5.0,2,0.0,2.0,1.0,0,1
36,5.0,2,0.0,3.0,1.0,0,1
36,5.0,2,0.0,4.0,0.0,0,1
36,5.0,2,0.0,5.0,0.0,0,1
36,5.0,2,0.0,6.0,0.0,0,1
36,5.0,2,0.0,7.0,0.0,0,1
37,5.0,2,0.0,1.0,1.0,0,1
37,5.0,2,0.0,2.0,1.0,0,1
37,5.0,2,0.0,3.0,1.0,0,1
37,5.0,2,0.0,4.0,0.0,0,1
37,5.0,2,0.0,5.0,0.0,0,1
37,5.0,2,0.0,6.0,0.0,0,1
37,5.0,2,0.0,7.0,0.0,0,1
38,5.0,2,0.0,1.0,1.0,0,1
38,5.0,2,0.0,2.0,1.0,0,1
38,5.0,2,0.0,3.0,1.0,0,1
38,5.0,2,0.0,4.0,0.0,0,1
38,5.0,2,0.0,5.0,0.0,0,1
38,5.0,2,0.0,6.0,0.0,0,1
38,5.0,2,0.0,7.0,0.0,0,1
39,5.0,2,0.0,1.0,1.0,0,1
39,5.0,2,0.0,2.0,1.0,0,1
39,5.0,2,0.0,3.0,1.0,0,1
39,5.0,2,0.0,4.0,0.0,0,1
39,5.0,2,0.0,5.0,0.0,0,1
39,5.0,2,0.0,6.0,0.0,0,1
39,5.0,2,0.0,7.0,0.0,0,1
40,5.0,2,0.0,1.0,1.0,0,1
40,5.0,2,0.0,2.0,0.0,0,1
40,5.0,2,0.0,3.0,1.0,0,1
40,5.0,2,0.0,4.0,1.0,0,1
40,5.0,2,0.0,5.0,0.0,0,1
40,5.0,2,0.0,6.0,0.0,0,1
40,5.0,2,0.0,7.0,0.0,0,1
41,6.0,2,0.0,1.0,1.0,0,1
41,6.0,2,0.0,2.0,1.0,0,1
41,6.0,2,0.0,3.0,1.0,0,1
41,6.0,2,0.0,4.0,0.0,0,1
41,6.0,2,0.0,5.0,0.0,0,1
41,6.0,2,0.0,6.0,0.0,0,1
