ID,Treatment,Robber,Female,Age,Econ,RobbersChoice,DecisionTime,DGSent,UGSent,UGMTA,TGSent,TGReturn,Donation,CharityValue,Expectation,SelectedRobber,PayoffBeforeRob,PayoffAfterRob
583,0,1,1,24,1,50,20.312,1,3,4,0,.0885913,0,7,33.48,0,10.15,10.15
584,0,1,0,20,1,50,24.305,1,3,1,1,0,0,5,47.61,0,15.4,15.4
585,0,1,1,22,0,50,30.607,1,5,5,6,.1386508,5,7,33.5,0,11.9,11.9
586,0,1,1,20,0,50,29.438,0,1,1,2,.0422817,1,7,43.79,0,9.45,9.45
587,1,1,1,24,1,50,56.41,5,5,4,4,.2272421,0,6,44.6,0,8.4,8.4
588,0,1,0,25,0,50,33.524,0,3,3,0,0,0,3,50,0,10.15,10.15
589,0,1,0,27,0,50,36.661,4,5,4,4,.2598016,0,1,46.3,0,7.35,7.35
590,0,1,1,20,1,50,48.314,3,2,0,10,.2314087,10,8,44.3,1,8.4,93.45
591,0,1,1,22,0,50,24.913,5,5,2,3,.1294246,0,5,43.24,0,9.45,9.45
592,1,1,1,22,1,50,33.556,0,5,1,2,0,0,10,39.75,0,10.5,10.5
593,0,1,0,18,1,50,73.055,0,4,1,7,.005,0,5,31.01,0,13.65,13.65
594,1,1,1,25,0,50,14.181,0,5,5,5,0,0,5,22.75,0,10.15,10.15
595,1,1,0,19,1,50,99.06,2,5,3,2,.1465675,5,10,49.43,0,11.2,11.2
596,0,1,0,22,0,50,85.614,2,5,7,5,.0718651,0,5,18.9,0,8.4,8.4
597,0,1,1,25,0,50,69.374,5,5,4,5,.2053175,10,6,36.1,0,9.8,9.8
598,0,1,0,21,1,50,19.406,2,0,1,1,.2005754,5,8,48.92,0,11.9,11.9
599,0,1,1,21,0,50,14.227,3,3,5,3,.1771825,1,8,49.15,0,5.95,5.95
600,0,1,1,21,0,50,27.659,0,4,1,0,0,5,9,48.3,0,12.25,12.25
601,0,1,0,20,1,50,40.482,0,4,1,3,0,0,10,45.45,0,7.7,7.7
602,1,1,1,22,1,50,15.444,0,4,1,3,0,0,5,47.61,0,14.35,14.35
603,0,1,0,21,1,50,44.975,0,5,1,0,0,0,8,45.45,1,14.7,110.25
604,0,1,0,25,0,50,15.132,0,3,3,3,0,0,2,30.7,0,12.6,12.6
605,0,1,0,19,0,50,26.988,0,0,5,0,.0211111,0,7,48.3,0,7,7
606,0,1,1,26,0,50,19.641,0,0,1,1,0,0,8,43.91,0,16.45,16.45
607,0,1,0,19,0,50,18.486,2,5,4,3,.3535516,3,10,38.05,0,8.75,8.75
608,1,1,0,23,1,50,68.999,0,3,2,0,0,0,5,42.6,1,10.5,108.15
609,1,1,0,21,1,50,17.441,1,5,5,3,.5,0,6,25.6,0,10.85,10.85
610,1,1,0,27,0,50,40.639,0,5,4,0,0,0,10,46.3,0,12.25,12.25
611,0,1,0,24,1,50,136.361,3,3,2,4,0,5,7,7.3,0,12.25,12.25
612,0,1,0,24,0,50,22.355,5,3,1,0,0,0,5,45.45,0,10.5,10.5
613,0,1,1,21,0,50,57.783,1,4,4,3,.1147619,0,5,36.4,1,12.6,108.15
614,1,1,0,32,1,50,57.003,0,5,3,4,.2209921,0,10,23.25,0,14,14
615,1,1,1,31,0,50,40.388,1,4,3,3,.0712302,1,10,49.83,0,14.35,14.35
616,0,1,0,22,1,50,12.262,0,5,3,0,.1737897,0,10,45.45,0,12.95,12.95
617,0,1,1,25,0,50,54.195,1,0,2,2,.2378373,2,2,49.49,0,12.6,12.6
618,0,1,0,20,0,50,124.349,0,4,3,0,0,10,5,40.9,0,11.55,11.55
619,1,1,1,24,0,50,24.165,0,5,2,3,.0795635,0,5,46.6,0,13.3,13.3
620,1,1,0,24,1,50,44.242,1,5,1,3,.2365675,1,2,30.4,0,12.25,12.25
621,1,1,0,21,0,50,13.166,0,4,4,0,0,1,8,48.3,0,12.95,12.95
622,1,1,0,30,0,50,23.978,3,5,4,3,.0527778,0,6,36.9,0,11.9,11.9
623,0,1,1,23,0,50,34.819,2,4,5,2,.1668452,17,9,40.39,0,9.8,9.8
624,1,1,1,22,1,50,56.831,0,1,1,1,0,1,3,50,0,14,14
625,0,1,1,22,0,50,57.408,5,5,3,3,.1564087,10,6,47.95,0,7.7,7.7
626,1,1,0,18,1,50,10.483,0,5,0,0,0,0,4,42.1,0,15.4,15.4
627,1,1,1,25,0,50,43.493,0,5,0,3,0,0,6,49.83,0,18.2,18.2
628,0,1,0,28,0,50,45.989,10,4,1,10,.2397421,0,5,12.45,0,9.45,9.45
629,1,1,1,26,0,50,26.318,0,5,5,3,0,0,10,50,0,9.8,9.8
630,0,1,0,23,1,50,39.531,1,1,1,1,.5,50,1,48.69,0,8.75,8.75
631,0,1,1,24,1,50,40.28,1,5,3,2,.0697024,0,10,34.4,0,10.5,10.5
632,0,1,1,27,0,50,25.069,3,5,1,3,.2251587,5,8,45.45,0,11.55,11.55
633,1,1,1,20,1,50,15.974,1,3,3,2,.130873,5,8,36.4,0,13.65,13.65
634,1,1,1,21,0,50,36.037,0,5,1,0,0,10,10,45.45,0,12.25,12.25
635,1,1,0,22,1,50,24.835,5,5,5,7,0,5,5,45.45,0,10.15,10.15
636,1,1,1,26,1,50,17.332,0,4,1,0,0,0,10,44.6,0,14.7,14.7
637,0,1,0,19,1,50,13.307,1,3,4,3,.2571032,5,10,47.5,1,11.55,97.3
638,1,1,0,26,1,50,55.615,0,5,4,3,0,0,1,42.6,0,11.9,11.9
639,0,1,0,50,0,50,82.79,0,5,3,2,.1787698,0,5,44.6,0,11.55,11.55
640,1,1,1,18,1,50,22.745,0,4,2,2,.0780357,1,4,38.1,0,10.15,10.15
