;"Player";"Endowment";"Investment";"Pot";"Return";"Subject";"Delta",
122;4;10;5;20;10;"RAS_004";0,54
123;35;50;10;40;17;"RAS_004";0,54
124;30;2;1;4;2;"RAS_004";0,54
125;15;20;7;28;13;"RAS_004";0,54
126;29;5;5;20;10;"RAS_004";0,54
127;16;10;9;36;16;"RAS_004";0,54
128;33;10;7;28;14;"RAS_004";0,54
129;12;20;10;40;18;"RAS_004";0,54
130;24;20;5;20;8;"RAS_004";0,54
131;13;50;8;32;17;"RAS_004";0,54
132;10;5;1;4;2;"RAS_004";0,54
133;2;20;8;32;12;"RAS_004";0,54
134;18;10;5;20;10;"RAS_004";0,54
135;9;10;5;20;12;"RAS_004";0,54
136;27;2;1;4;2;"RAS_004";0,54
137;36;50;9;36;18;"RAS_004";0,54
138;17;2;1;4;2;"RAS_004";0,54
139;34;10;8;32;13;"RAS_004";0,54
140;7;5;4;16;7;"RAS_004";0,54
141;11;2;1;4;1;"RAS_004";0,54
142;26;10;1;4;1;"RAS_004";0,54
143;5;20;4;16;7;"RAS_004";0,54
144;38;20;7;28;13;"RAS_004";0,54
145;8;2;2;8;4;"RAS_004";0,54
146;14;10;4;16;7;"RAS_004";0,54
147;21;20;10;40;17;"RAS_004";0,54
148;20;20;8;32;12;"RAS_004";0,54
149;22;50;7;28;12;"RAS_004";0,54
150;31;5;2;8;4;"RAS_004";0,54
151;19;5;2;8;3;"RAS_004";0,54
152;3;10;5;20;8;"RAS_004";0,54
153;39;20;9;36;13;"RAS_004";0,54
154;32;10;10;40;14;"RAS_004";0,54
155;1;10;5;20;10;"RAS_004";0,54
156;40;10;4;16;1;"RAS_004";0,54
157;25;10;5;20;8;"RAS_004";0,54
158;37;10;5;20;11;"RAS_004";0,54
159;23;20;9;36;18;"RAS_004";0,54
160;28;10;2;8;2;"RAS_004";0,54
161;19;5;2;8;1;"RAS_005";0,66
162;17;2;1;4;1;"RAS_005";0,66
163;8;2;2;8;4;"RAS_005";0,66
164;30;2;1;4;1;"RAS_005";0,66
165;31;5;2;8;4;"RAS_005";0,66
166;14;10;4;16;8;"RAS_005";0,66
167;18;10;5;20;10;"RAS_005";0,66
168;10;5;1;4;2;"RAS_005";0,66
169;27;2;1;4;2;"RAS_005";0,66
170;13;50;8;32;14;"RAS_005";0,66
171;23;20;9;36;20;"RAS_005";0,66
172;32;10;10;40;20;"RAS_005";0,66
173;35;50;10;40;20;"RAS_005";0,66
174;12;20;10;40;20;"RAS_005";0,66
175;38;20;7;28;15;"RAS_005";0,66
176;3;10;5;20;10;"RAS_005";0,66
177;25;10;5;20;10;"RAS_005";0,66
178;9;10;5;20;10;"RAS_005";0,66
179;24;20;5;20;10;"RAS_005";0,66
180;16;10;9;36;18;"RAS_005";0,66
181;34;10;8;32;17;"RAS_005";0,66
182;28;10;2;8;4;"RAS_005";0,66
183;1;10;5;20;10;"RAS_005";0,66
184;15;20;7;28;14;"RAS_005";0,66
185;4;10;5;20;10;"RAS_005";0,66
186;36;50;9;36;20;"RAS_005";0,66
187;37;10;5;20;10;"RAS_005";0,66
188;21;20;10;40;20;"RAS_005";0,66
189;26;10;1;4;2;"RAS_005";0,66
190;20;20;8;32;16;"RAS_005";0,66
191;40;10;4;16;8;"RAS_005";0,66
192;2;20;8;32;16;"RAS_005";0,66
193;39;20;9;36;20;"RAS_005";0,66
194;22;50;7;28;14;"RAS_005";0,66
195;5;20;4;16;8;"RAS_005";0,66
196;11;2;1;4;2;"RAS_005";0,66
197;29;5;5;20;10;"RAS_005";0,66
198;6;10;5;20;10;"RAS_005";0,66
199;33;10;7;28;14;"RAS_005";0,66
200;7;5;4;16;8;"RAS_005";0,66
201;32;10;10;40;5;"RAS_006";0,57
202;37;10;5;20;7;"RAS_006";0,57
203;1;10;5;20;10;"RAS_006";0,57
204;2;20;8;32;15;"RAS_006";0,57
205;23;20;9;36;17;"RAS_006";0,57
206;36;50;9;36;12;"RAS_006";0,57
207;30;2;1;4;2;"RAS_006";0,57
208;13;50;8;32;16;"RAS_006";0,57
209;34;10;8;32;15;"RAS_006";0,57
210;7;5;4;16;8;"RAS_006";0,57
211;16;10;9;36;18;"RAS_006";0,57
212;5;20;4;16;8;"RAS_006";0,57
213;8;2;2;8;8;"RAS_006";0,57
214;4;10;5;20;11;"RAS_006";0,57
215;15;20;7;28;14;"RAS_006";0,57
216;38;20;7;28;14;"RAS_006";0,57
217;6;10;5;20;10;"RAS_006";0,57
218;17;2;1;4;1;"RAS_006";0,57
219;22;50;7;28;8;"RAS_006";0,57
220;11;2;1;4;2;"RAS_006";0,57
221;9;10;5;20;10;"RAS_006";0,57
222;20;20;8;32;13;"RAS_006";0,57
223;25;10;5;20;8;"RAS_006";0,57
224;29;5;5;20;13;"RAS_006";0,57
225;35;50;10;40;10;"RAS_006";0,57
226;24;20;5;20;8;"RAS_006";0,57
227;39;20;9;36;17;"RAS_006";0,57
228;31;5;2;8;6;"RAS_006";0,57
229;10;5;1;4;2;"RAS_006";0,57
230;12;20;10;40;20;"RAS_006";0,57
231;33;10;7;28;15;"RAS_006";0,57
232;40;10;4;16;7;"RAS_006";0,57
233;19;5;2;8;4;"RAS_006";0,57
234;27;2;1;4;2;"RAS_006";0,57
235;28;10;2;8;2;"RAS_006";0,57
236;14;10;4;16;6;"RAS_006";0,57
237;18;10;5;20;10;"RAS_006";0,57
238;21;20;10;40;20;"RAS_006";0,57
239;26;10;1;4;2;"RAS_006";0,57
240;3;10;5;20;10;"RAS_006";0,57
241;29;5;5;20;6;"RAS_008";0,46
242;13;50;8;32;2;"RAS_008";0,46
243;9;10;5;20;5;"RAS_008";0,46
244;5;20;4;16;0;"RAS_008";0,46
245;19;5;2;8;2;"RAS_008";0,46
246;32;10;10;40;15;"RAS_008";0,46
247;2;20;8;32;9;"RAS_008";0,46
248;35;50;10;40;5;"RAS_008";0,46
249;25;10;5;20;5;"RAS_008";0,46
250;27;2;1;4;1;"RAS_008";0,46
251;15;20;7;28;7;"RAS_008";0,46
252;8;2;2;8;4;"RAS_008";0,46
253;17;2;1;4;1;"RAS_008";0,46
254;33;10;7;28;10;"RAS_008";0,46
255;10;5;1;4;0;"RAS_008";0,46
256;31;5;2;8;1;"RAS_008";0,46
257;1;10;5;20;7;"RAS_008";0,46
258;22;50;7;28;1;"RAS_008";0,46
259;40;10;4;16;4;"RAS_008";0,46
260;39;20;9;36;10;"RAS_008";0,46
261;7;5;4;16;8;"RAS_008";0,46
262;28;10;2;8;0;"RAS_008";0,46
263;23;20;9;36;11;"RAS_008";0,46
264;21;20;10;40;15;"RAS_008";0,46
265;37;10;5;20;10;"RAS_008";0,46
266;11;2;1;4;1;"RAS_008";0,46
267;34;10;8;32;16;"RAS_008";0,46
268;6;10;5;20;6;"RAS_008";0,46
269;36;50;9;36;0;"RAS_008";0,46
