,Subject,trust_group,RR,Investment
480,RAS_016,low,0.1,5
481,RAS_017,low,0.5,7
482,RAS_017,hi,0.5,5
483,RAS_017,low,0.5,2
484,RAS_017,mid,0.5,2
485,RAS_017,hi,0.321428571428571,7
486,RAS_017,mid,0.5,1
487,RAS_017,hi,0.444444444444444,9
488,RAS_017,mid,0.5,5
489,RAS_017,low,0.5,4
490,RAS_017,mid,0.5,4
491,RAS_017,mid,0.5,5
492,RAS_017,mid,0.5,7
493,RAS_017,mid,0.5,5
494,RAS_017,mid,0.5,2
495,RAS_017,mid,0.46875,8
496,RAS_017,mid,0.5,5
497,RAS_017,hi,0.53125,8
498,RAS_017,mid,0.5,5
499,RAS_017,low,0.46875,8
500,RAS_017,mid,0.5,5
501,RAS_017,mid,0.5,1
502,RAS_017,low,0.388888888888889,9
503,RAS_017,mid,0.475,10
504,RAS_017,low,0.5,5
505,RAS_017,hi,0.5,10
506,RAS_017,mid,0.5,9
507,RAS_017,mid,0.5,1
508,RAS_017,mid,0.46875,8
509,RAS_017,mid,0.5,1
510,RAS_017,low,0.25,1
511,RAS_017,hi,0.5,2
512,RAS_017,mid,0.5,5
513,RAS_017,mid,0.5,4
514,RAS_017,mid,0.5,9
515,RAS_017,mid,0.571428571428571,7
516,RAS_017,low,0.25,1
517,RAS_017,mid,0.5,5
518,RAS_017,hi,0.5,4
519,RAS_017,low,0.375,10
520,RAS_017,mid,0.5,10
521,RAS_018,low,0.5,5
522,RAS_018,mid,0.277777777777778,9
523,RAS_018,hi,0.53125,8
524,RAS_018,mid,0.25,5
525,RAS_018,mid,0.25,2
526,RAS_018,mid,0.375,10
527,RAS_018,low,0.166666666666667,9
528,RAS_018,mid,0.25,5
529,RAS_018,mid,0.3125,8
530,RAS_018,mid,0.25,2
531,RAS_018,mid,0.35,5
532,RAS_018,low,0,1
533,RAS_018,hi,0.375,10
534,RAS_018,mid,0.357142857142857,7
535,RAS_018,mid,0.25,1
536,RAS_018,low,0.275,10
537,RAS_018,hi,0.5,5
538,RAS_018,hi,0.3125,4
539,RAS_018,low,0.375,4
540,RAS_018,mid,0.35,5
541,RAS_018,mid,0.3125,4
542,RAS_018,mid,0.35,5
543,RAS_018,mid,0.25,1
544,RAS_018,mid,0.35,5
545,RAS_018,mid,0.35,10
546,RAS_018,mid,0.25,1
547,RAS_018,mid,0.3125,4
548,RAS_018,mid,0.5,1
549,RAS_018,low,0.375,2
550,RAS_018,mid,0.35,5
551,RAS_018,hi,0.357142857142857,7
552,RAS_018,hi,0.5,2
553,RAS_018,low,0.5,1
554,RAS_018,mid,0.35,5
555,RAS_018,mid,0.34375,8
556,RAS_018,low,0.40625,8
557,RAS_018,hi,0.416666666666667,9
558,RAS_018,mid,0.388888888888889,9
559,RAS_018,mid,0.428571428571429,7
560,RAS_018,low,0.392857142857143,7
561,RAS_019,hi,0.857142857142857,7
562,RAS_019,mid,0.25,5
563,RAS_019,low,0.15,5
564,RAS_019,mid,0.375,2
565,RAS_019,mid,0.25,1
566,RAS_019,mid,0.35,5
567,RAS_019,mid,0.25,1
568,RAS_019,hi,0.416666666666667,9
569,RAS_019,low,0.25,8
570,RAS_019,hi,0.5,10
571,RAS_019,hi,0.5,2
572,RAS_019,hi,0.5,5
573,RAS_019,mid,0.25,1
574,RAS_019,low,0.0357142857142857,7
575,RAS_019,low,0.25,2
576,RAS_019,mid,0.25,7
577,RAS_019,mid,0.325,10
578,RAS_019,low,0.25,1
579,RAS_019,low,0.25,1
580,RAS_019,mid,0.375,8
581,RAS_019,mid,0.25,5
582,RAS_019,mid,0.25,5
583,RAS_019,mid,0.277777777777778,9
584,RAS_019,mid,0.21875,8
585,RAS_019,mid,0.25,5
586,RAS_019,mid,0.214285714285714,7
587,RAS_019,mid,0.35,5
588,RAS_019,mid,0.25,2
589,RAS_019,mid,0.277777777777778,9
590,RAS_019,low,0.138888888888889,9
591,RAS_019,low,0.125,10
592,RAS_019,mid,0.35,5
593,RAS_019,mid,0.25,4
594,RAS_019,hi,0.5,4
595,RAS_019,mid,0.3,10
596,RAS_019,mid,0.25,4
597,RAS_019,hi,0.46875,8
598,RAS_019,mid,0.25,5
599,RAS_019,low,0.1875,4
600,RAS_019,mid,0.25,1
601,RAS_020,low,0.25,4
602,RAS_020,mid,0.45,5
603,RAS_020,low,0.178571428571429,7
604,RAS_020,mid,0.4375,4
605,RAS_020,low,0.5,1
606,RAS_020,mid,0.3125,8
607,RAS_020,mid,0.55,5
608,RAS_020,hi,0.5,10
609,RAS_020,mid,0.95,5
610,RAS_020,mid,0.25,9
611,RAS_020,mid,0.45,10
612,RAS_020,mid,0.5,1
613,RAS_020,hi,0.7,5
614,RAS_020,mid,0.5,5
615,RAS_020,low,0.225,10
616,RAS_020,mid,0.5,1
617,RAS_020,hi,0.625,4
618,RAS_020,mid,0.4,5
619,RAS_020,low,0.0555555555555556,9
620,RAS_020,hi,0.583333333333333,9
621,RAS_020,mid,0.375,2
622,RAS_020,low,0.1875,8
623,RAS_020,hi,0.75,2
624,RAS_020,mid,0.5,1
625,RAS_020,mid,0.472222222222222,9
626,RAS_020,mid,0.5,5
627,RAS_020,hi,0.53125,8
628,RAS_020,low,0.375,2
629,RAS_020,mid,0.321428571428571,7
630,RAS_020,mid,0.285714285714286,7
631,RAS_020,mid,0.35,5
632,RAS_020,mid,0.5,10
633,RAS_020,mid,0.55,5
634,RAS_020,low,0.5,5
635,RAS_020,mid,0.375,2
636,RAS_020,mid,0.5,1
637,RAS_020,hi,0.25,7
638,RAS_020,low,0.5,1
639,RAS_020,mid,0.5,4
640,RAS_020,mid,0.3125,8
641,RAS_021,hi,0.5,2
642,RAS_021,mid,0.4,5
643,RAS_021,hi,0.5,5
644,RAS_021,low,0.28125,8
645,RAS_021,mid,0.25,1
646,RAS_021,hi,0.555555555555556,9
647,RAS_021,mid,0.5,5
648,RAS_021,mid,0.45,5
649,RAS_021,mid,0.3125,8
650,RAS_021,mid,0.375,4
651,RAS_021,low,0.5,1
652,RAS_021,mid,0.25,1
653,RAS_021,hi,0.5,10
654,RAS_021,low,0.277777777777778,9
655,RAS_021,hi,0.5,7
656,RAS_021,low,0.25,1
657,RAS_021,low,0.375,2
658,RAS_021,mid,0.5,4
659,RAS_021,mid,0.357142857142857,7
660,RAS_021,mid,0.5,10
661,RAS_021,mid,0.45,5
662,RAS_021,low,0.175,10
663,RAS_021,low,0.4,5
664,RAS_021,mid,0.375,2
665,RAS_021,low,0.428571428571429,7
666,RAS_021,hi,0.3125,4
667,RAS_021,mid,0.375,8
668,RAS_021,mid,0.375,2
669,RAS_021,mid,0.5,5
670,RAS_021,mid,0.277777777777778,9
671,RAS_021,mid,0.5,5
672,RAS_021,low,0.4375,4
673,RAS_021,mid,0.464285714285714,7
674,RAS_021,mid,0.45,5
675,RAS_021,mid,0.5,5
676,RAS_021,mid,0.416666666666667,9
677,RAS_021,mid,0.25,1
678,RAS_021,hi,0.4375,8
679,RAS_021,mid,0.475,10
680,RAS_021,mid,0.5,1
681,RAS_022,mid,0.357142857142857,7
682,RAS_022,low,0.2,10
683,RAS_022,mid,0.25,2
684,RAS_022,mid,0.4,5
685,RAS_022,hi,0.375,4
686,RAS_022,mid,0.4,5
687,RAS_022,low,0.2,5
688,RAS_022,low,0,1
689,RAS_022,low,0.25,1
690,RAS_022,low,0.125,2
691,RAS_022,mid,0.5,5
692,RAS_022,mid,0.4,5
693,RAS_022,mid,0.5,5
694,RAS_022,mid,0.45,10
695,RAS_022,mid,0.392857142857143,7
696,RAS_022,mid,0.25,1
697,RAS_022,mid,0.375,4
698,RAS_022,mid,0.4,10
699,RAS_022,mid,0.5,2
700,RAS_022,hi,0.5,5
701,RAS_022,mid,0.5,5
702,RAS_022,hi,0.472222222222222,9
703,RAS_022,mid,0.4375,8
704,RAS_022,mid,0.5,1
705,RAS_022,mid,0.5,1
706,RAS_022,mid,0.305555555555556,9
707,RAS_022,mid,0.4,5
708,RAS_022,mid,0.4,5
709,RAS_022,hi,0.53125,8
710,RAS_022,mid,0.277777777777778,9
711,RAS_022,hi,0.464285714285714,7
712,RAS_022,low,0.0625,4
713,RAS_022,hi,0.5,2
714,RAS_022,hi,0.525,10
715,RAS_022,low,0.0277777777777778,9
716,RAS_022,mid,0.25,1
717,RAS_022,low,0.0357142857142857,7
718,RAS_022,mid,0.25,4
719,RAS_022,low,0.09375,8
720,RAS_022,mid,0.1875,8
721,RAS_023,mid,0.277777777777778,9
722,RAS_023,low,0.375,4
723,RAS_023,mid,0.5,1
724,RAS_023,mid,0.194444444444444,9
725,RAS_023,mid,0.5,1
726,RAS_023,hi,0.65,10
727,RAS_023,mid,0,1
728,RAS_023,low,0.25,1
729,RAS_023,mid,0.35,5
730,RAS_023,low,0.0833333333333333,9
731,RAS_023,mid,0.5,5
732,RAS_023,mid,0.55,5
733,RAS_023,mid,0.375,4
734,RAS_023,mid,0.5,5
735,RAS_023,mid,0.375,8
736,RAS_023,mid,0.375,2
737,RAS_023,mid,0.475,10
738,RAS_023,mid,0.7,5
739,RAS_023,mid,0,7
740,RAS_023,mid,0.2,10
741,RAS_023,low,0,5
742,RAS_023,hi,1,4
743,RAS_023,mid,0,5
744,RAS_023,low,1,2
745,RAS_023,mid,0.6875,4
746,RAS_023,mid,0,7
747,RAS_023,hi,0,8
748,RAS_023,mid,0.125,8
749,RAS_023,hi,1,5
750,RAS_023,hi,1,2
751,RAS_023,low,0.05,10
752,RAS_023,mid,0.125,2
753,RAS_023,low,0.178571428571429,7
754,RAS_023,mid,0.2,5
755,RAS_023,low,1,1
756,RAS_023,hi,0.142857142857143,7
757,RAS_023,mid,0.2,5
758,RAS_023,low,0,8
759,RAS_023,hi,0.0833333333333333,9
760,RAS_023,mid,1,1
761,RAS_024,mid,0.5,5
762,RAS_024,mid,0.375,2
763,RAS_024,mid,0.5,5
764,RAS_024,mid,0.472222222222222,9
765,RAS_024,mid,0.5,1
766,RAS_024,mid,0.5,4
767,RAS_024,low,0.214285714285714,7
768,RAS_024,hi,0.55,10
769,RAS_024,low,0.375,4
770,RAS_024,mid,0.5,5
771,RAS_024,mid,0.285714285714286,7
772,RAS_024,mid,0.5,5
773,RAS_024,mid,0.25,2
774,RAS_024,hi,0.277777777777778,9
775,RAS_024,mid,0.25,8
776,RAS_024,hi,0.357142857142857,7
777,RAS_024,mid,0.25,10
778,RAS_024,mid,0.5,1
779,RAS_024,low,0.25,5
780,RAS_024,low,0.166666666666667,9
781,RAS_024,mid,0.5,5
782,RAS_024,mid,0.25,8
783,RAS_024,hi,0.5,4
784,RAS_024,mid,0.277777777777778,9
785,RAS_024,low,0,1
786,RAS_024,low,0.5,2
787,RAS_024,mid,0.3125,4
788,RAS_024,mid,0.5,1
789,RAS_024,hi,0.5,2
790,RAS_024,mid,0.5,5
791,RAS_024,hi,0.6,5
792,RAS_024,mid,0.85,10
793,RAS_024,low,0.25,1
794,RAS_024,mid,0.25,5
795,RAS_024,low,0.25,8
796,RAS_024,low,0.25,10
797,RAS_024,hi,0.375,8
