PersonID,Condition,PrePostDepletion,Mean Consumption,Rounds,Starting value,Knows Opp,Friends,Knows Friends
1,0,0,30,5,1,0,0,0
2,0,0,22.2,5,1,0,0,0
3,0,0,8.83,6,1,0,0,0
4,0,0,9.83,6,1,0,0,0
5,0,0,23.6,3,1,1,1,2
6,0,0,25,3,1,1,1,2
7,0,0,40,1,1,0,0,0
8,0,0,10,1,1,0,0,0
9,0,0,22.6,3,1,1,1,2
10,0,0,26,3,1,1,1,2
11,0,0,26,5,1,0,1,1
12,0,0,21,5,1,0,1,1
13,0,0,25,4,1,0,0,0
14,0,0,18.5,4,1,0,0,0
15,0,0,13.6,5,1,1,1,2
16,0,0,35,5,1,1,1,2
17,0,0,20,5,1,0,0,0
18,0,0,49,5,1,0,0,0
19,0,0,60,1,1,1,1,2
20,0,0,75,1,1,1,1,2
21,0,0,20,1,1,0,0,0
22,0,0,72,1,1,0,0,0
23,0,0,30,1,1,0,0,0
24,0,0,64,1,1,0,0,0
25,0,0,25,1,1,1,1,2
26,0,0,37,1,1,1,1,2
27,0,0,29.5,2,1,0,0,0
28,0,0,37,2,1,0,0,0
29,0,0,40,1,1,1,1,2
30,0,0,25,1,1,1,1,2
31,0,0,30,1,1,1,1,2
32,0,0,30,1,1,1,1,2
33,0,0,31,3,1,1,1,2
34,0,0,16,3,1,1,1,2
35,0,0,27.5,2,1,1,1,2
36,0,0,23,2,1,1,1,2
37,0,0,38.3,3,1,1,1,2
38,0,0,22.6,3,1,1,1,2
39,0,0,41,1,1,1,1,2
40,0,0,25,1,1,1,1,2
41,0,0,25,1,1,0,0,0
42,0,0,45,1,1,0,0,0
43,0,0,30,1,1,0,0,0
44,0,0,50,1,1,0,0,0
45,0,0,40,1,1,1,1,2
46,0,0,40,1,1,1,1,2
47,0,0,30,1,1,0,0,0
48,0,0,40,1,1,0,0,0
49,0,0,21.6,3,1,0,0,0
50,0,0,27.6,3,1,0,0,0
51,0,0,23.25,4,1,1,1,2
52,0,0,26.25,4,1,1,1,2
53,0,0,13.3,3,1,0,0,0
54,0,0,21.6,3,1,0,0,0
55,0,0,17.5,2,1,0,1,1
56,0,0,30,2,1,0,1,1
57,0,0,40,1,1,1,1,2
58,0,0,50,1,1,0,1,1
59,0,0,20,2,1,0,0,0
60,0,0,35,2,1,0,0,0
63,0,0,23.3,3,1,1,1,2
64,0,0,25,3,1,1,1,2
65,0,0,17.5,2,1,1,1,2
66,0,0,30,2,1,1,1,2
67,0,0,28.3,3,1,1,1,2
