ingroup,choice,beliefL,beliefC,beliefR,game,BRUR,choiceU,choiceD,BRURbelief,ingroup_BRURbelief,distance_uniform
0.0,2,7,40,53,3,1.0,0.0,1.0,53.0,0.0,33.53605
0.0,2,0,10,90,2,1.0,0.0,1.0,90.0,0.0,69.7615
1.0,2,10,30,60,5,0.0,0.0,1.0,30.0,30.0,35.59026
0.0,2,1,0,99,4,0.0,0.0,1.0,1.0,0.0,80.428024
1.0,0,100,0,0,2,0.0,1.0,0.0,0.0,0.0,81.64966
0.0,2,1,0,99,2,1.0,0.0,1.0,99.0,0.0,80.428024
1.0,1,40,39,21,4,0.0,0.0,0.0,40.0,40.0,15.121728
0.0,2,0,0,100,2,1.0,0.0,1.0,100.0,0.0,81.64966
1.0,2,1,25,74,5,0.0,0.0,1.0,25.0,25.0,52.618122
1.0,0,21,22,57,1,1.0,1.0,0.0,21.0,21.0,28.994253
0.0,1,30,50,20,2,0.0,0.0,0.0,20.0,0.0,21.602468
1.0,2,33,33,34,4,0.0,0.0,1.0,33.0,33.0,0.8164966
0.0,0,100,0,0,4,1.0,1.0,0.0,100.0,0.0,81.64966
1.0,2,0,0,100,3,1.0,0.0,1.0,100.0,100.0,81.64966
0.0,2,40,50,10,4,0.0,0.0,1.0,40.0,0.0,29.439203
1.0,0,55,40,5,5,0.0,1.0,0.0,40.0,40.0,36.2859
1.0,0,50,37,13,4,1.0,1.0,0.0,50.0,50.0,26.545559
0.0,2,10,50,40,2,1.0,0.0,1.0,40.0,0.0,29.439203
0.0,2,0,30,70,2,1.0,0.0,1.0,70.0,0.0,49.665546
1.0,2,10,2,88,4,0.0,0.0,1.0,10.0,10.0,67.19127
1.0,2,4,21,75,2,1.0,0.0,1.0,75.0,75.0,52.427727
1.0,2,13,22,65,2,1.0,0.0,1.0,65.0,65.0,39.302246
1.0,2,33,34,33,2,1.0,0.0,1.0,33.0,33.0,0.8164966
0.0,2,0,0,100,3,1.0,0.0,1.0,100.0,0.0,81.64966
0.0,1,5,20,75,5,1.0,0.0,0.0,20.0,0.0,52.12165
0.0,2,22,22,56,2,1.0,0.0,1.0,56.0,0.0,27.760883
1.0,2,20,25,55,3,1.0,0.0,1.0,55.0,55.0,26.77063
0.0,2,2,20,78,2,1.0,0.0,1.0,78.0,0.0,56.16642
0.0,2,1,1,98,1,0.0,0.0,1.0,1.0,0.0,79.200165
1.0,0,24,76,0,5,0.0,1.0,0.0,76.0,76.0,54.942394
0.0,2,26,32,42,4,0.0,0.0,1.0,26.0,0.0,11.430952
1.0,2,25,25,50,3,1.0,0.0,1.0,50.0,50.0,20.412415
0.0,0,50,25,25,2,0.0,1.0,0.0,25.0,0.0,20.412415
1.0,0,60,30,10,1,1.0,1.0,0.0,60.0,60.0,35.59026
0.0,2,34,33,33,3,1.0,0.0,1.0,33.0,0.0,0.8164966
1.0,2,0,0,100,4,0.0,0.0,1.0,0.0,0.0,81.64966
0.0,2,21,13,66,4,0.0,0.0,1.0,21.0,0.0,40.40627
0.0,2,25,25,50,4,0.0,0.0,1.0,25.0,0.0,20.412415
1.0,2,50,11,39,1,0.0,0.0,1.0,50.0,50.0,28.437065
0.0,0,34,34,32,5,0.0,1.0,0.0,34.0,0.0,1.6329932
