period,subject,triangle,chooseup,numchooseupcircle,numchooseuptri,profit,partnerout,partnerin,allocateincoin0,allocateincoin1,allocateincoin2,sumcoinsallocatedin,totalprofit,normtriup,normadults,gameunequal,n_period,n_subjects,kindergarten,female,S_ID,I_ID
2,5,1,1,9,4,0,4,,,,,,1,0,0,0,13,10,0,1,89,1.10e+09
1,6,1,1,2,2,1,3,,,,,,1,1,0,0,13,10,1,1,43,4306
4,5,1,1,9,12,0,0,,,,,,2,1,1,0,13,10,1,0,19,1905
2,9,1,0,8,2,1,4,,,,,,2,0,1,0,13,10,1,1,24,2409
6,8,1,0,8,18,0,4,,,,,,4,1,0,0,13,10,1,1,33,3308
4,8,1,0,14,11,1,3,,,,,,2,1,0,1,13,10,0,0,94,6.08e+08
2,6,1,1,4,6,1,2,,,,,,1,1,1,0,13,10,1,1,19,1906
4,8,1,1,9,12,0,0,,,,,,2,1,1,0,13,10,0,0,32,3208
7,7,1,1,11,22,1,1,,,,,,6,1,1,0,13,10,1,0,19,1907
13,8,1,,31,42,1,2,7,1,1,1,3,17,1,0,1,13,10,0,0,36,3608
7,7,1,1,28,15,0,2,,,,,,5,0,0,0,13,10,1,0,41,4107
2,6,1,1,8,6,0,0,,,,,,1,1,1,1,13,10,1,0,48,4806
4,8,1,0,17,4,1,1,,,,,,4,0,1,0,13,10,1,0,24,2408
12,6,1,1,18,40,1,1,,,,,,8,1,0,0,13,10,1,0,33,3306
12,9,1,0,42,27,0,2,,,,,,8,0,0,0,13,10,1,0,41,4109
2,8,1,1,5,5,0,0,,,,,,0,1,0,1,13,10,1,1,92,8.08e+08
9,4,1,0,24,7,1,2,,,,,,6,0,0,0,13,8,1,0,21,2104
12,7,1,0,28,9,0,2,,,,,,6,0,0,0,13,8,1,0,21,2107
5,9,1,0,18,16,1,4,,,,,,3,0,0,1,13,10,1,0,40,4009
1,7,1,1,3,5,0,0,,,,,,0,1,1,1,13,10,1,1,26,2607
12,7,1,1,34,39,2,1,,,,,,11,1,1,1,13,10,0,1,4,407
1,8,1,0,4,2,1,4,,,,,,1,0,0,0,13,10,1,0,41,4108
7,7,1,1,16,20,2,4,,,,,,4,1,0,1,13,10,1,0,46,4607
13,8,1,,25,35,3,3,7,1,0,1,2,10,1,1,0,13,10,0,0,32,3208
4,8,1,0,6,12,0,3,,,,,,3,1,0,0,13,10,1,1,43,4308
13,6,1,,19,26,3,2,4,0,1,0,1,7,1,0,0,13,8,1,1,85,1.51e+09
3,7,1,0,2,6,0,0,,,,,,1,1,0,0,13,8,1,0,85,1.51e+09
8,6,1,0,36,2,1,1,,,,,,6,0,1,0,13,10,0,0,42,4206
9,9,1,0,33,21,1,3,,,,,,4,1,1,1,13,10,1,0,48,4809
9,6,1,1,29,29,2,1,,,,,,8,1,1,1,13,10,0,1,8,806
4,7,1,0,10,10,0,1,,,,,,2,0,1,0,13,10,1,1,10,1007
5,7,1,1,15,16,0,4,,,,,,3,1,1,1,13,10,0,0,8,807
13,6,1,,2,58,4,4,9,0,1,1,2,16,1,0,0,13,10,0,1,86,1.41e+09
9,6,1,0,25,28,1,2,,,,,,4,0,1,1,13,10,0,1,9,906
13,5,1,,36,24,3,3,9,0,1,0,1,13,1,1,1,13,10,1,0,26,2605
2,5,1,1,8,6,0,0,,,,,,0,0,0,1,13,10,0,1,90,1.01e+09
4,7,1,0,10,9,0,4,,,,,,2,1,0,1,13,10,1,1,92,8.07e+08
5,9,1,0,18,14,1,4,,,,,,4,0,0,1,13,10,0,1,90,1.01e+09
3,9,1,0,8,8,0,3,,,,,,3,1,0,1,13,10,0,1,36,3609
8,7,1,0,24,27,0,3,,,,,,6,1,1,1,13,10,0,1,4,407
8,8,1,0,24,27,1,0,,,,,,6,1,1,1,13,10,0,1,4,408
