pid,kull,sex,age,charity,election,treatment,decision,given1,given2,given_hypo
310,1,2,19,3,4,T1*,ENTRY,100,50,
311,2,2,24,1,5,T2,NO,100,,100
312,4,1,34,2,6,T2*,NO,100,,100
313,1,1,21,2,2,T3,EXIT,200,200,
317,4,2,22,0,6,T1,EXIT,0,0,
318,1,2,20,2,6,T1*,NO,0,,0
319,3,1,21,0,6,T2,EXIT,0,0,
321,1,2,20,2,6,T2*,NO,0,,0
322,4,1,23,0,7,T3,NO,50,,0
323,1,2,19,1,2,T3*,NO,0,,100
324,5,1,24,0,6,T1,EXIT,0,0,
325,5,1,25,2,6,T1*,ENTRY,0,0,
328,1,2,20,2,6,T2,NO,100,,100
330,2,2,22,1,2,T2*,NO,50,,50
331,4,2,21,3,4,T3,NO,50,,50
333,1,1,19,0,6,T3*,NO,100,,100
335,3,1,22,1,4,T1,NO,0,,0
337,3,1,22,1,6,T1*,NO,0,,0
338,1,1,20,1,6,T2,NO,20,,0
343,1,2,20,1,,T2*,ENTRY,100,100,
345,2,1,21,0,6,T3,NO,50,,50
348,1,2,19,1,2,T3*,ENTRY,200,200,
349,1,2,20,1,6,T1,EXIT,0,0,
350,1,2,19,1,6,T1*,NO,50,,50
351,1,2,24,2,1,T2,NO,100,,100
353,1,1,18,2,7,T2*,ENTRY,0,0,
357,3,1,21,1,2,T3,NO,100,,100
359,3,1,22,1,6,T3*,NO,50,,50
360,4,1,23,0,6,T1,NO,50,,50
362,3,1,27,1,6,T1*,NO,0,,0
365,4,1,24,1,7,T2,EXIT,0,0,
366,2,1,22,2,2,T2*,ENTRY,0,0,
371,3,2,22,1,3,T1,EXIT,0,0,
372,5,1,25,1,6,T1*,ENTRY,0,0,
376,2,1,21,4,6,T2,NO,0,,0
377,1,1,20,3,4,T2*,ENTRY,0,0,
378,4,1,30,2,4,T3,NO,200,,200
381,4,1,23,1,4,T3*,NO,0,,100
384,1,1,20,3,7,T1,NO,0,,0
387,1,1,23,2,6,T1*,ENTRY,0,50,
388,4,1,23,1,6,T2,NO,100,,100
389,3,1,21,1,6,T2*,ENTRY,0,0,
392,2,1,21,0,6,T3,NO,100,,100
394,1,1,23,2,6,T3*,ENTRY,200,200,
398,4,2,23,2,4,T1,NO,0,,0
401,1,1,20,1,2,T1*,ENTRY,100,100,
402,3,1,23,1,6,T2,NO,50,,50
403,3,1,23,0,6,T2*,NO,0,,0
405,3,2,22,0,6,T3,NO,100,,50
413,2,1,21,3,6,T3*,NO,0,,0
414,4,1,22,1,4,T1,EXIT,10,10,
